STellar Mass	ml_expell	ml_eject	ml_heat
  2.30137e+06      12.4319      34.4570      76.2816
  3.45674e+06      10.9340      23.1679      53.7588
  6.17447e+06      9.70586      23.6515      50.8356
  1.81744e+07      8.34998      11.2941      28.7021
  3.87525e+07      5.95918      9.69567      21.8359
  5.90299e+07      5.42855      7.83518      19.2986
  5.40398e+07      9.02364      12.6584      26.1153
  8.01979e+07      4.03876      4.94645      17.8279
  1.41683e+08      2.20976      3.28651      15.8083
  3.90293e+08      3.73614      6.21169      14.5315
  4.11538e+08      4.46813      5.59932      11.3887
  2.53906e+08      2.35237      3.33542      13.2543
  4.57894e+08      2.38192      3.51952      17.0356
  1.19627e+09      1.87201      2.92520      10.6938
  3.80901e+09     0.923064      1.59057      6.40315
  4.49236e+09      1.11941      1.88193      14.7313
  7.82977e+09     0.894077      1.51355      9.05353
  4.45835e+10     0.255252     0.322306      3.62744
  4.56329e+10     0.545139     0.713045      3.82367
  4.49742e+10     0.377315     0.521705      3.54822
